common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
electronics,Embedded systems,Programming and Coding for Embedded Systems,Debugging and Optimization -BL4,RA,"OBJECT ORIENTED PROGRAMMING WITH C++-CO1[Understand OOPs Concept, C++ language features. Able to Understanding and Applying various Datatypes, Operators, Conversions in program design. ](CS422T4R)","PYTHON FOR SCIENTIFIC COMPUTING -CO4[Execute control loops, function programming and script programming ](HU322D6X)",,,
electronics,Embedded systems,Programming and Coding for Embedded Systems,Debugging and Optimization -BL5,ECE,ARM Embedded Systems-CO2[Apply the knowledge gained for programming ARM Cortex M3 for different applications.](21EC753),Computer Organization & ARM Microcontrollers -CO3[Describe the instruction set of 32-bit microcontroller ARM Cortex M3 and apply the knowledge gained in programming ARM Cortex M3 for different applications.](21EC62),Computer Organization & ARM Microcontrollers -CO4[Demonstrate the instructions involved in Programming ARM Cortex M3 for different applications.](21EC62),Python Programming -CO5[Interpret the concepts of Object-Oriented Programming as they are used in Python.](21EC642),ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753)
electronics,Embedded systems,Programming and Coding for Embedded Systems,Understanding memory structures (stack/heap). -BL3,ECE,Advanced VLSI-CO4[Infer the reliability of the memory](21EC71),"Advanced VLSI-CO5[Understand the role of peripheral circuitry such as the decoders, sense amplifiers, drivers and control circuitry in the design of reliable and fast memories](21EC71)",Computer Organization & ARM Microcontrollers -CO2[Illustrate memory hierarchy and various memory management techniques to improve the computer's performance.](21EC62),"Python Programming -CO4[Develop Python Programs using core data structures like Lists, Dictionaries, and Tuples.](21EC642)",
electronics,Embedded systems,Programming and Coding for Embedded Systems,Understanding memory structures (stack/heap). -BL4,CS,"Principals of Programming with C-CO5[Apply the concepts of pointers, files and dynamic memory allocation in C Programs.](CS122I3C/CS222I3C)",,,,
electronics,Embedded systems,Programming and Coding for Embedded Systems,Understanding memory structures (stack/heap). -BL5,RA,"MICROCONTROLLER AND PLC -CO1[Explain the difference between Microprocessors & Microcontrollers, Architecture of 8051 Microcontroller, Instruction set of 8051, Interfacing of 8051 to external memory.](21AR62)","MICROCONTROLLER AND PLC -CO1[Explain the difference between Microprocessors & Microcontrollers, Architecture of 8051 Microcontroller, Instruction set of 8051, Interfacing of 8051 to external memory.](21AR62)","ROBOT OPERATING SYSTEM 2-CO4[Implement advanced ROS2 features by utilizing the Fast DDS Discovery Server, custom memory allocators, Fast DDS middleware optimization, bag recording and playback, simulators (Gazebo and Webots), and addressing security concerns in robotic applications.](21AR52 )",,
electronics,Embedded systems,Embedded Security,Encrypting communication channels (TLS/SSL) - BL3,ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),CRYPTOGRAPHY AND NETWORK SECURITY -CO4[Apply the various Authentication schemes to simulate different applications.](21IS653),,,
electronics,Embedded systems,Embedded Security,Encrypting communication channels (TLS/SSL) - BL4,ECE,Network Security-CO2[Understand the concept of Transport Level Security and Secure Socket Layer.](21EC743),Network Security-CO3[Explain Security concerns in Internet Protocol security](21EC743),,,
electronics,Embedded systems,Embedded Security,Encrypting communication channels (TLS/SSL) - BL5,CSE,"Cyber Security Fundamentals and laws-CO1[Comprehensive understanding of fundamental cyber security concepts, threats,
vulnerabilities, and the measures necessary to protect information systems and assets](21CY63)",Cyber Security Fundamentals and laws-CO5[A thorough insight into the ramifications of cyber security for organizations.](21CY63),,,
electronics,Embedded systems,Embedded Security,Implementing secure boot mechanisms -BL3,ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),CRYPTOGRAPHY AND NETWORK SECURITY -CO4[Apply the various Authentication schemes to simulate different applications.](21IS653),,,
electronics,Embedded systems,Embedded Security,Implementing secure boot mechanisms -BL4,ECE,ARM Embedded Systems-CO3[Understand the basic hardware components and their selection method based on the characteristics and attributes of an embedded system.](21EC753),ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,,
electronics,Embedded systems,Embedded Security,Implementing secure boot mechanisms -BL5,CSE,"Cyber Security Fundamentals and laws-CO3[The ability to perceive the unique challenges and security implications associated with the
widespread use of mobile and wireless devices.](21CY63)","Cyber Security Fundamentals and laws-CO4[Understanding of various cyberattacks, the tools and techniques used by cybercriminals, and
the countermeasures to mitigate and prevent these threats.](21CY63)",,,
electronics,Embedded systems,Embedded Security,Designing tamper-resistant firmware -BL3,ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),CRYPTOGRAPHY AND NETWORK SECURITY -CO4[Apply the various Authentication schemes to simulate different applications.](21IS653),,,
electronics,Embedded systems,Embedded Security,Designing tamper-resistant firmware -BL4,ECE,ARM Embedded Systems-CO3[Understand the basic hardware components and their selection method based on the characteristics and attributes of an embedded system.](21EC753),ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,,
electronics,Embedded systems,Embedded Security,Designing tamper-resistant firmware -BL5,CSE,"Cyber Security Fundamentals and laws-CO3[The ability to perceive the unique challenges and security implications associated with the
widespread use of mobile and wireless devices.](21CY63)",Cyber Security Fundamentals and laws-CO5[A thorough insight into the ramifications of cyber security for organizations.](21CY63),,,
electronics,Embedded systems,Embedded Security,Debugging vulnerabilities in embedded systems -BL3,ECE,ARM Embedded Systems-CO2[Apply the knowledge gained for programming ARM Cortex M3 for different applications.](21EC753),,,,
electronics,Embedded systems,Embedded Security,Debugging vulnerabilities in embedded systems -BL4,CY,Vulnerability Assessment and Penetration Testing-CO3[Examine the strengths and weaknesses of various information technology solutions regarding data security](21CY733),,,,
electronics,Embedded systems,Embedded Security,Debugging vulnerabilities in embedded systems -BL5,ISE,ETHICAL HACKING-CO3[To demonstrate the enumeration and vulnerability analysis methods.](CS322T6CD),,,,
electronics,Embedded systems,Embedded Firmware Development,interrupt-driven systems development(real time) -BL3,ECE,ARM Embedded Systems-CO1[Describe the architectural features and instructions of the 32-bit microcontroller ARM Cortex M3.](21EC753),ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),"Advanced VLSI-CO5[Understand the role of peripheral circuitry such as the decoders, sense amplifiers, drivers and control circuitry in the design of reliable and fast memories](21EC71)",,
electronics,Embedded systems,Embedded Firmware Development,interrupt-driven systems development(real time) -BL4,ECE,,,,,
electronics,Embedded systems,Embedded Firmware Development,interrupt-driven systems development(real time) -BL5,RA,"ROBOT OPERATING SYSTEM 2-CO3[Employ advanced ROS2 concepts, such as managing dependencies with rosdep, creating and utilizing actions, composing multiple nodes, monitoring parameter changes, and conducting testing and URDF implementation for enhanced robotic system development.](21AR52 )",,,,
electronics,Embedded systems,Embedded Firmware Development,"Writing drivers for peripherals like I2C, SPI, and UART -BL3",ECE,"Advanced VLSI-CO5[Understand the role of peripheral circuitry such as the decoders, sense amplifiers, drivers and control circuitry in the design of reliable and fast memories](21EC71)","VLSI Laboratory-CO2[Apply knowledge of various types of addressing modes, interrupts, peripherals and pipelining structure of TMS320C54xx processor.](21ECL66)",IoT & Wireless Sensor Networks-CO1[Understand choice and application of IoT & M2M communication protocols.](21EC741),IoT & Wireless Sensor Networks-CO4[Descnbe the architectures and its communication protocols of WSNs.](21EC741),IoT & Wireless Sensor Networks-CO5[Identify the uplink and downlink communication protocols associated with specific application of IOT /WSNs](21EC741)
electronics,Embedded systems,Embedded Firmware Development,"Writing drivers for peripherals like I2C, SPI, and UART -BL4",CSE,Logic Design and Embedded Systems-CO5[Interface the peripheral devices with ARM microcontroller](CS322I2C),,,,
electronics,Embedded systems,Embedded Firmware Development,"Writing drivers for peripherals like I2C, SPI, and UART -BL5",ECE,ARM Embedded Systems-CO2[Apply the knowledge gained for programming ARM Cortex M3 for different applications.](21EC753),ARM Embedded Systems-CO5[Explain the need for a time operating system for embedded system applications.](21EC753),ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,
electronics,Embedded systems,Embedded Firmware Development,low power mode optimization -BL3,ECE,"Advanced VLSI-CO2[Use the approaches to minimize the impact of interconnect parasitics on performance, power dissipation and circuit reliability](21EC71)",Analog Electronic Circuits -CO3[Interpret the output stages of the amplifier and calculate its power conversion efficiency](EC322I3E),Optical & wireless communication lab-CO4[Measure the losses in the free space and power loss](21ECL73),PCB Design -CO2[Utilse circuit theory concepts to build valuable circuits like clamper circuits and regulated power sources.](EC42297EA),
electronics,Embedded systems,Embedded Firmware Development,low power mode optimization -BL4,ECE,,,,,
electronics,Embedded systems,Embedded Firmware Development,low power mode optimization -BL5,ECE,"VLSI Laboratory-CO2[Apply knowledge of various types of addressing modes, interrupts, peripherals and pipelining structure of TMS320C54xx processor.](21ECL66)",,,,
electronics,Embedded systems,Embedded Firmware Development,hardware software integration debugging -BL3,ECE,ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),Electronics Devices -CO5[Design and Simulation of electronic devices using EDA software](EC42297EC),ARM Embedded Systems-CO3[Understand the basic hardware components and their selection method based on the characteristics and attributes of an embedded system.](21EC753),,
electronics,Embedded systems,Embedded Firmware Development,hardware software integration debugging -BL4,RA,"MICROCONTROLLER AND PLC -CO4[Discuss history of PLC and describe the hardware components of PLC, bit logic instructions, Ladder diagram design.](21AR62)",,,,
electronics,Embedded systems,Embedded Firmware Development,hardware software integration debugging -BL5,ECE,,,,,
electronics,electronics design,Circuit Design,basic analog and digital circuits designing -BL3,ECE,Analog Electronic Circuits -CO1[Demonstrate the use of BJT s in simple amplifier circuits by constructing the basic amplifier circuit and observing its operation.](EC322I3E),Analog Electronic Circuits -CO2[Design and analyze the FET amplifiers with different circuit configurations and biasing conditions.](EC322I3E),Analog Electronic Circuits -CO3[Interpret the output stages of the amplifier and calculate its power conversion efficiency](EC322I3E),Analog Electronic Circuits -CO4[Interpret the given amplifier circuit using one of the feedback topologies and perform standard measurements.](EC322I3E),"Analog Electronic Circuits -CO5[Design of circuits using linear IC s for a wide range of applications such as ADC, DAC filters and timers.](EC322I3E)"
electronics,electronics design,Circuit Design,basic analog and digital circuits designing -BL4,ECE,Analysis and Design of Digital Circuits-CO5[Develop Mealy/Moore FSM Models and state diagrams for the given sequential circuits.](EC322I2E),"Analysis and Design of Digital Circuits-CO1[Apply the knowledge of digital electronics to construct the combinational circuits using SOP and POS expressions and simplify the Boolean functions using K-map, Quine - McCluskey minimization Technique and MEV Techniques.](EC322I2E)",Analysis and Design of Digital Circuits-CO3[Demonstrate building blocks of sequential logic circuits.](EC322I2E),Analysis and Design of Digital Circuits-CO4[Design shift registers and synchronous counters using flip-flops.](EC322I2E),Analysis and Design of Digital Circuits-CO5[Develop Mealy/Moore FSM Models and state diagrams for the given sequential circuits.](EC322I2E)
